id,date_added,incident_date,date_precision,city,county,state,agency_name,agency_type,on_duty,officer_named,dogs_fired_at,dog_outcome,dog_breed_reported,dog_restrained,circumstance,warrant_type,human_injured_by_fire,dept_response,litigation,summary,source_name,source_url,additional_sources,confidence,prompt_version,reviewed
1,2026-09-02,2026-08-27,day,Los Angeles,Los Angeles,CA,Los Angeles Police Department,municipal PD,yes,,1,unknown,,no,domestic call,none,unknown,"Officers responded to the area and determined no crime had occurred; after being attacked, an officer-involved animal shooting occurred; animal control officers transported the dog to a facility for treatment.",none,"LAPD officers responded to a domestic incident call in the Green Meadows neighborhood on Thursday morning. As they returned to their vehicle, three unrestrained dogs emerged from a property and charged at them; one dog attacked an officer, resulting in a shooting. The officer was bitten on the leg and taken to a hospital for treatment of puncture wounds.",Patch,https://patch.com/california/los-angeles/police-shoot-dog-who-attacked-officer-los-angeles,https://www.yahoo.com/news/articles/officer-shoots-dog-being-attacked-193217024.html https://mynewsla.com/crime/2026/08/29/lapd-shoots-dog-who-attacked-officer-in-green-meadows/ https://mynewsla.com/crime/2026/08/27/lapd-shoots-dog-that-attacked-officer-in-green-meadows/ https://www.yahoo.com/news/videos/lapd-officer-shoots-dog-being-232600059.html,high,2026-09-01.5,no
2,2026-09-02,2026-08-26,day,Charlotte,Mecklenburg,NC,Sheriff's Office,county SO,unknown,,,unknown,,no,loose/roaming dog,none,unknown,,unknown,A sheriff's deputy fired a gun at a dog during a pack attack in northwest Charlotte that injured four people.,WCNC,https://www.wcnc.com/video/news/seven-loose-dogs-attack-couple-in-northwest-charlotte/275-141cb8f5-2bb3-4e08-a914-979400cd889d,https://www.wcnc.com/article/news/local/4-people-hurt-in-northwest-charlotte-dog-attack/275-caa2df40-7bc1-4bdb-b28f-26985dd577c7,low,2026-09-01.5,no
3,2026-09-02,2026-08-21,day,Sunland Park,Los Angeles,CA,Los Angeles County Sheriff's Department - Crescenta Valley Station,county SO,yes,,1,injured-survived,pit bull,no,warrant service,arrest warrant,unknown,Sheriff's Captain Ryan Vienna commended the deputies for attempting non-lethal de-escalation with a Taser before using the firearm; an administrative review of the deputy's decision is pending.,none,"Los Angeles County Sheriff's deputies were arresting a grand theft suspect near Sunland Park Recreation Center when the suspect's pit bull attacked them. After a Taser proved ineffective, a deputy fired on the dog, which survived and was taken to a veterinary hospital for treatment.",Hoodline,https://hoodline.com/2026/08/sunland-park-foot-chase-ends-with-deputy-shooting-suspect-s-pit-bull/,https://abc7.com/post/la-county-sheriffs-deputies-shoot-dog-during-foot-pursuit-theft-suspect-sunland/19715244/ https://www.dailynews.com/2026/08/20/at-least-1-deputy-shoots-pit-bull-during-arrest-near-sunland-park/ https://www.cbsnews.com/losangeles/video/la-county-deputy-shoots-dog-while-arresting-grand-theft-suspect-in-sunland-park/ https://www.nbclosangeles.com/news/local/sunland-deputy-dog-shooting-investigation/3931913/ https://www.cbsnews.com/losangeles/news/la-county-deputy-shoots-dog-while-arresting-grand-theft-suspect-at-park/ https://www.nbclosangeles.com/video/news/local/deputy-shoots-dog-sunland/3931932/ https://www.yahoo.com/news/videos/la-county-deputy-shoots-dog-232500958.html https://ktla.com/news/local-news/deputy-shoots-pit-bull-sunland-recreation-center/ https://www.yahoo.com/news/articles/l-deputies-shoot-pit-bull-011821653.html,high,2026-09-01.5,no
4,2026-09-02,2026-08-13,day,,Hopkins,TX,Hopkins County Sheriff's Office,county SO,yes,,1,killed,,no,warrant service,search warrant,unknown,The sheriff's office says the incident remains under investigation and officials are reviewing the circumstances.,unknown,"A Hopkins County Sheriff's Office deputy shot and killed a dog while serving a high-risk felony warrant on Wednesday. According to the sheriff's office, the dog lunged at the deputy after pushing past a resident, prompting the deputy to fire his weapon.",Yahoo,https://www.yahoo.com/news/us/articles/hopkins-county-deputy-shoots-dog-155912994.html,https://www.greenvillechronicle.com/s/5082/Hopkins-County-Deputy-Fatally-Shoots-Dog-While-Attempting-to-Serve-High-Risk-Felony-Warrant.php https://www.kltv.com/2026/08/14/hopkins-county-deputy-kills-dog-while-serving-warrant-wrong-residence/ https://www.cbs19.tv/article/news/local/hopkins-county-deputy-shoots-dog-while-serving-high-risk-felony-warrant/501-50b767ed-ee3f-4d16-bfaf-57d885d47a29,high,2026-09-01.5,no
5,2026-09-02,2026-08-12,day,Allentown,,PA,,unknown,unknown,,1,killed,,no,loose/roaming dog,none,unknown,,unknown,An officer in Allentown shot a loose dog after it attacked three people.,lehighvalleylive,https://www.lehighvalleylive.com/allentown/2026/08/loose-dog-shot-by-officer-after-attacking-3-in-allentown-police-say.html,https://www.mcall.com/2026/08/13/allentown-police-officer-fatally-shoots-loose-dog-biting-people/,low,2026-09-01.5,no
6,2026-09-02,2026-08-12,day,Twin Falls,Twin Falls County,ID,Twin Falls Police Department,municipal PD,yes,,1,injured-survived,Rottweiler,no,unrelated call response,none,unknown,"The incident was referred to Twin Falls County Sheriff's Office for an independent investigation, consistent with established practice for officer-involved incidents.",none,"A Twin Falls police officer shot a large Rottweiler on Wednesday afternoon, August 12, 2026, at approximately 1:30 p.m. while visiting a residence as part of an active investigation. The dog ran toward the officer after he knocked on the door; according to police, the officer discharged his duty weapon, striking the animal. The dog was transported to a veterinary office, treated, and released to its owner.",KMVT,https://www.kmvt.com/2026/08/13/twin-falls-officer-shoots-dog-during-investigation-visit/,https://www.yahoo.com/news/us/articles/tfpd-officer-shoots-dog-twin-234429901.html https://www.kmvt.com/video/2026/08/13/dog-released-after-being-shot-by-twin-falls-police-officer/,high,2026-09-01.5,no
7,2026-09-02,,unknown,Walnut Cove,Stokes,NC,Winston-Salem Police Department,municipal PD,no,,1,killed,,unknown,unknown,none,unknown,,unknown,An off-duty Winston-Salem police officer shot and killed a dog in Walnut Cove. The State Bureau of Investigation joined the investigation.,wfmynews2.com,https://www.wfmynews2.com/article/news/local/walnut-cove-shooting-leaves-dog-dead-winston-salem-police-officer-involved-stokes-county/83-a85f35da-d448-4fee-9372-d9b1361d69ee,,low,2026-09-02,no
8,2026-09-02,,unknown,Palm Beach,,FL,,unknown,unknown,,1,killed,,unknown,pursuit,unknown,unknown,,unknown,"Police killed a dog described as having lunged or bitten an officer during or after a car chase near Mar-a-Lago in Palm Beach, Florida.",The Palm Beach Post,https://www.palmbeachpost.com/story/news/crime/2026/08/26/police-shoot-kill-dog-they-say-lunged-after-car-chase-near-trumps-mar-a-lago-palm-beach-florida/91472147007/,,low,2026-09-02,no
9,2026-09-02,,unknown,Graham,,WA,,county SO,unknown,,1,killed,,unknown,unknown,unknown,unknown,,unknown,"Deputies in Graham, Washington killed an aggressive dog near the scene where a 5-year-old girl was found dead after disappearing.",WXLV,https://abc45.com/news/nation-world/gallery/5-year-old-girl-found-dead-in-graham-deputies-kill-aggressive-dog-nearby?photo=2,https://mynorthwest.com/local/large-animal-attack-graham/4266289?show=comments https://www.king5.com/article/news/community/5-year-old-girl-found-dead-pierce-county-yard-deputies-shoot-aggressive-dog/281-a939178d-2810-4bd7-8ae6-062af6d975b5 https://fox17.com/news/nation-world/5-year-old-girl-found-dead-in-graham-deputies-kill-aggressive-dog-nearby https://abcnews4.com/news/nation-world/5-year-old-girl-found-dead-in-graham-deputies-kill-aggressive-dog-nearby https://thenationaldesk.com/news/americas-news-now/5-year-old-girl-found-dead-in-graham-deputies-kill-aggressive-dog-nearby?photo=2 https://mynorthwest.com/local/graham-aggressive-dog-dead/4266000,low,2026-09-02,no
10,2026-09-02,,unknown,Yorktown Heights,,NY,,unknown,unknown,,1,killed,,unknown,unknown,unknown,unknown,,unknown,A dog named Luke was shot and killed in Yorktown Heights. A memorial was held in response to the shooting.,lohud.com,https://www.lohud.com/picture-gallery/news/local/westchester/yorktown/2026/08/07/yorktown-community-reacts-to-shooting-death-of-a-dog/91217112007/,,low,2026-09-02,no
